"YEAR","MONTH","JURISDICTION","LOCATION","AGE_GROUP","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2023,"01","NSW","Outer Regional Australia","40-64","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",9,1,0,8
2023,"01","NSW","Outer Regional Australia","40-64","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",7,2,0,5
2023,"01","NSW","Outer Regional Australia","40-64","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",10,2,0,8
2023,"01","NSW","Outer Regional Australia","65+","No","Stage 1","0","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Outer Regional Australia","65+","No","Stage 2","0","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Outer Regional Australia","65+","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Remote Australia","26-39","No","Stage 1","0","1","0","0","0","0","0","Not applicable",3,2,0,1
2023,"01","NSW","Remote Australia","26-39","No","Stage 2","0","1","0","0","0","0","0","Not applicable",3,2,0,1
2023,"01","NSW","Remote Australia","26-39","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",3,2,0,1
2023,"01","NSW","Remote Australia","40-64","No","Stage 1","0","1","0","0","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Remote Australia","40-64","No","Stage 1","1","0","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Remote Australia","40-64","No","Stage 1","1","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Remote Australia","40-64","No","Stage 2","0","1","0","0","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Remote Australia","40-64","No","Stage 2","1","0","0","0","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Remote Australia","40-64","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",1,0,0,1
